KSHKOD,"TELNEV","TELNEV CLEAR",POP,SIZE_km2,latitude,longitude,SUBREG,SUBREGCENT,COUNTYCODE,COUNTYCENT,TOWN,REGION,UNIV
2514,"Sárosd","Sarosd",3325,4812,47.04298,18.64572,3708,0,7,0,0,2,0
201,"Ráckeresztúr","Rackeresztur",3311,3530,47.274588,18.827754,3710,0,7,0,0,2,0
833,"Táborfalva","Taborfalva",3306,4205,47.102465,19.481025,4303,0,13,0,0,1,0
991,"Tuzsér","Tuzser",3301,1552,48.337293,22.125604,4512,0,15,0,0,6,0
1301,"Hodász","Hodasz",3297,2649,47.919,22.19968,4505,0,15,0,0,6,0
3216,"Sásd","Sasd",3282,1488,46.254465,18.10607,3203,1,2,0,1,4,0
1845,"Harta","Harta",3275,12968,46.696535,19.026495,3303,0,3,0,0,7,0
819,"Bordány","Bordany",3262,3648,46.320305,19.9193,3605,0,6,0,0,7,0
2536,"Dunabogdány","Dunabogdany",3255,2550,47.793684,19.036209,4314,0,13,0,0,1,0
1693,"Orgovány","Orgovany",3255,9916,46.751405,19.477375,3304,0,3,0,0,7,0
1892,"Csolnok","Csolnok",3253,1871,47.688071,18.716492,4101,0,11,0,0,2,0
684,"Sóskút","Soskut",3245,2767,47.408091,18.832626,4310,0,13,0,0,1,0
2194,"Akasztó","Akaszto",3230,6488,46.69129,19.20551,3305,0,3,0,0,7,0
2667,"Lengyeltóti","Lengyeltoti",3227,3957,46.666878,17.64213,4405,1,14,0,1,4,0
1565,"Gyõrszemere","Gyorszemere",3209,3310,47.551198,17.570716,3806,0,8,0,0,3,0
1188,"Abda","Abda",3201,1902,47.697735,17.541405,3802,0,8,0,0,3,0
2800,"Öcsöd","Ocsod",3199,10366,46.908451,20.38328,4603,0,16,0,0,6,0
2575,"Pákozd","Pakozd",3199,4330,47.217155,18.54311,3704,0,7,0,0,2,0
514,"Balatonkenese","Balatonkenese",3195,6557,47.035782,18.109314,4902,0,19,0,1,2,0
1718,"Ecséd","Ecsed",3193,4160,47.7275,19.771335,4005,0,10,0,0,5,0
1316,"Röszke","Roszke",3176,3663,46.187408,20.03755,3606,0,6,0,0,7,0
2423,"Erdõtelek","Erdotelek",3174,4490,47.68632,20.314821,4002,0,10,0,0,5,0
786,"Dunapataj","Dunapataj",3169,9047,46.644948,18.999672,3303,0,3,0,0,7,0
1129,"Bököny","Bokony",3168,3547,47.732681,21.748131,4506,0,15,0,0,6,0
3126,"Vértesszõlõs","Vertesszolos",3166,1712,47.62043,18.375165,4107,0,11,0,0,2,0
682,"Csobánka","Csobanka",3165,2276,47.642165,18.96629,4314,0,13,0,0,1,0
3115,"Nyírbogát","Nyirbogat",3164,5536,47.803388,22.054111,4507,0,15,0,0,6,0
3366,"Lébény","Lebeny",3159,8139,47.736035,17.390495,3804,0,8,0,0,3,0
2141,"Üllés","Ulles",3142,4993,46.33707,19.84956,3605,0,6,0,0,7,0
206,"Gönyû","Gonyu",3135,2163,47.732819,17.83005,3802,0,8,0,0,3,0
1875,"Hajós","Hajos",3134,8992,46.399834,19.112906,3303,0,3,0,1,7,0
1394,"Hévízgyörk","Hevizgyork",3105,2285,47.632229,19.51141,4301,0,13,0,0,1,0
